DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Points,Status,Year,RoundNumber,EventName,QualifyingPosition,QDelta
16,C LECLERC,LEC,Ferrari,8.0,5.0,4.0,Finished,2020,9,Tuscan Grand Prix,5.0,0.0149845629724261
7,K RAIKKONEN,RAI,Alfa Romeo Racing,9.0,13.0,2.0,Finished,2020,9,Tuscan Grand Prix,13.0,0.0227563078888533
5,S VETTEL,VET,Ferrari,10.0,14.0,1.0,Finished,2020,9,Tuscan Grand Prix,14.0,0.0228095390184179
63,G RUSSELL,RUS,Williams,11.0,18.0,0.0,Finished,2020,9,Tuscan Grand Prix,18.0,0.0277866496327051
8,R GROSJEAN,GRO,Haas F1 Team,12.0,15.0,0.0,Finished,2020,9,Tuscan Grand Prix,15.0,0.0256174811029489
18,L STROLL,STR,Racing Point,13.0,6.0,0.0,Puncture,2020,9,Tuscan Grand Prix,7.0,0.0149978707548173
31,E OCON,OCO,Renault,14.0,10.0,0.0,Brakes,2020,9,Tuscan Grand Prix,10.0,0.015343873096987
6,N LATIFI,LAT,Williams,15.0,19.0,0.0,Collision,2020,9,Tuscan Grand Prix,19.0,0.0289577344831255
20,K MAGNUSSEN,MAG,Haas F1 Team,16.0,20.0,0.0,Collision,2020,9,Tuscan Grand Prix,20.0,0.0293303523900776
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,17.0,17.0,0.0,Collision,2020,9,Tuscan Grand Prix,17.0,0.0276269562440114
55,C SAINZ,SAI,McLaren,18.0,9.0,0.0,Collision,2020,9,Tuscan Grand Prix,9.0,0.0183381241349941
33,M VERSTAPPEN,VER,Red Bull Racing,19.0,3.0,0.0,Collision,2020,9,Tuscan Grand Prix,3.0,0.0043516448419035
10,P GASLY,GAS,AlphaTauri,20.0,16.0,0.0,Collision,2020,9,Tuscan Grand Prix,16.0,0.0263627169168529
77,V BOTTAS,BOT,Mercedes,1.0,3.0,26.0,Finished,2020,10,Russian Grand Prix,3.0,0.0071409795846841
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,2.0,18.0,Finished,2020,10,Russian Grand Prix,2.0,0.0061662139665294
44,L HAMILTON,HAM,Mercedes,3.0,1.0,15.0,Finished,2020,10,Russian Grand Prix,1.0,0.0
11,S PEREZ,PER,Racing Point,4.0,4.0,12.0,Finished,2020,10,Russian Grand Prix,4.0,0.0110948041706824
3,D RICCIARDO,RIC,Renault,5.0,5.0,10.0,Finished,2020,10,Russian Grand Prix,5.0,0.0100105143257688
16,C LECLERC,LEC,Ferrari,6.0,10.0,8.0,Finished,2020,10,Russian Grand Prix,11.0,0.0211929378778586
31,E OCON,OCO,Renault,7.0,7.0,6.0,Finished,2020,10,Russian Grand Prix,7.0,0.0144571979321825
26,D KVYAT,KVY,AlphaTauri,8.0,11.0,4.0,Finished,2020,10,Russian Grand Prix,12.0,0.0213024621046174
10,P GASLY,GAS,AlphaTauri,9.0,9.0,2.0,Finished,2020,10,Russian Grand Prix,9.0,0.0185753088583194
23,A ALBON,ALB,Red Bull Racing,10.0,15.0,1.0,Finished,2020,10,Russian Grand Prix,10.0,0.0186629282397265
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,11.0,17.0,0.0,+1 Lap,2020,10,Russian Grand Prix,17.0,0.0360334706036974
20,K MAGNUSSEN,MAG,Haas F1 Team,12.0,18.0,0.0,+1 Lap,2020,10,Russian Grand Prix,18.0,0.0369863313765004
5,S VETTEL,VET,Ferrari,13.0,14.0,0.0,+1 Lap,2020,10,Russian Grand Prix,15.0,0.0252453342679399
7,K RAIKKONEN,RAI,Alfa Romeo Racing,14.0,19.0,0.0,+1 Lap,2020,10,Russian Grand Prix,20.0,0.0434044510645754
4,L NORRIS,NOR,McLaren,15.0,8.0,0.0,+1 Lap,2020,10,Russian Grand Prix,8.0,0.0168995881889073
6,N LATIFI,LAT,Williams,16.0,20.0,0.0,+1 Lap,2020,10,Russian Grand Prix,19.0,0.0412030141067204
8,R GROSJEAN,GRO,Haas F1 Team,17.0,16.0,0.0,+1 Lap,2020,10,Russian Grand Prix,16.0,0.0360115657583457
63,G RUSSELL,RUS,Williams,18.0,13.0,0.0,+1 Lap,2020,10,Russian Grand Prix,14.0,0.0249605712783667
55,C SAINZ,SAI,McLaren,19.0,6.0,0.0,Accident,2020,10,Russian Grand Prix,6.0,0.0136467186541662
18,L STROLL,STR,Racing Point,20.0,12.0,0.0,Collision,2020,10,Russian Grand Prix,13.0,0.0225619907123455
44,L HAMILTON,HAM,Mercedes,1.0,2.0,25.0,Finished,2020,11,Eifel Grand Prix,2.0,0.0014190385720484
33,M VERSTAPPEN,VER,Red Bull Racing,2.0,3.0,19.0,Finished,2020,11,Eifel Grand Prix,3.0,0.0023220631178973
3,D RICCIARDO,RIC,Renault,3.0,6.0,15.0,Finished,2020,11,Eifel Grand Prix,6.0,0.0096987181742485
11,S PEREZ,PER,Racing Point,4.0,9.0,12.0,Finished,2020,11,Eifel Grand Prix,9.0,0.0124429745863091
55,C SAINZ,SAI,McLaren,5.0,10.0,10.0,Finished,2020,11,Eifel Grand Prix,10.0,0.0128065299229497
10,P GASLY,GAS,AlphaTauri,6.0,12.0,8.0,Finished,2020,11,Eifel Grand Prix,12.0,0.0176734803973306
